match_id,date,home_team,away_team,home_score,away_score,actual_result,pred_result,p_home_win,p_draw,p_away_win,p_actual,log_loss,brier,correct,bookmaker,real_odds,edge,kelly_stake,bet_return,bankroll
1,2026-06-11,Mexico,South Africa,2,0,home_win,home_win,0.7965317461361497,0.1501973659027635,0.05327088796108668,0.7965317461361497,0.22748829338154675,0.06679636655869549,TRUE,NA,NA,NA,0,0,1000
2,2026-06-11,South Korea,Czech Republic,2,1,home_win,home_win,0.4092835116964607,0.33240206708983056,0.25831442121370873,0.4092835116964607,0.893347180447515,0.526163443966231,TRUE,NA,NA,NA,0,0,1000
3,2026-06-12,Canada,Bosnia and Herzegovina,1,1,draw,home_win,0.6257744001188977,0.2557302947217228,0.11849530515937945,0.2557302947217228,1.3636319261052479,0.9595721313839943,FALSE,NA,NA,NA,0,0,1000
4,2026-06-12,United States,Paraguay,4,1,home_win,home_win,0.6275579669102611,0.24591570137437835,0.1265263317153605,0.6275579669102611,0.46591923469650803,0.215196512811816,TRUE,NA,NA,NA,0,0,1000
5,2026-06-13,Haiti,Scotland,0,1,away_win,away_win,0.14753016054615428,0.25778328691586994,0.5946865525379758,0.5946865525379758,0.5197208147028575,0.2524963619774749,TRUE,NA,NA,NA,0,0,1000
6,2026-06-13,Australia,Turkey,2,0,home_win,away_win,0.27777596167774055,0.2963848250345619,0.4258392132876976,0.27777596167774055,1.2809403834435709,0.7907905616147656,FALSE,NA,NA,NA,0,0,1000
7,2026-06-13,Brazil,Morocco,1,1,draw,home_win,0.5120479936413819,0.28834629717825017,0.199605709180368,0.28834629717825017,1.2435931004172467,0.8084865796694696,FALSE,NA,NA,NA,0,0,1000
8,2026-06-13,Qatar,Switzerland,1,1,draw,away_win,0.08837819448881694,0.23750135726532118,0.6741204482458618,0.23750135726532118,1.4375819407224182,1.0436532641765321,FALSE,NA,NA,NA,0,0,1000
9,2026-06-14,Ivory Coast,Ecuador,1,0,home_win,away_win,0.26615069532195523,0.363330458819738,0.3705188458583067,0.26615069532195523,1.3236926068476955,0.8078280394187828,FALSE,Pinnacle,2.65,-0.006839644707731074,0,0,1000
10,2026-06-14,Germany,Curaçao,7,1,home_win,home_win,0.8481624049944841,0.11384379950102365,0.037993795504492237,0.8481624049944841,0.16468314620326832,0.037458594438725505,TRUE,NA,NA,NA,0,0,1000
11,2026-06-14,Netherlands,Japan,2,2,draw,draw,0.31829613958544295,0.3534578896180036,0.32824597079655354,0.3534578896180036,1.0399909248771277,0.6270745503163733,TRUE,Pinnacle,3.54,0.07097201391178892,24.728437918083944,62.81023231193322,1062.8102323119333
12,2026-06-14,Sweden,Tunisia,5,1,home_win,home_win,0.5195960850135213,0.2952377719613561,0.18516614302512266,0.5195960850135213,0.6547035288300878,0.35223976404984175,TRUE,Pinnacle,1.98,0.014545579963016197,0,0,1062.8102323119333
13,2026-06-15,Iran,New Zealand,2,2,draw,home_win,0.6571740434162269,0.22938667521870212,0.11343928136507091,0.22938667521870212,1.4723461613326392,1.0385910902271427,FALSE,Pinnacle,1.96,0.1469699617835738,79.72768522997633,-79.72768522997633,983.0825470819569
